formula,property
TlSr3,0.141100021
PbAc3,0.181908403
EuSi3,0.665097351
PbV3,0.378570108
BPt3,0.801162755
PmIn3,0.281777023
NaPt3,0.409046278
BaHf3,0.796174341
TlBe3,0.917804564
PTa3,0.735970704
IrTh3,0.523865804
ORh3,0.857263112
TbTi3,0.425460641
CrFe3,0.063605335
BeAu3,0.229802088
HMg3,0.58627288
NpC3,1.883246507
HgLi3,0.006113188
TmGd3,0.140583289
HCu3,0.598167844
WNb3,0.000923815
HgBr3,0.575524494
NpSe3,0.454792131
SrGa3,0.268217649
YSm3,0.132119231
OsTe3,1.031944788
RuHf3,0.299450687
OBi3,0.734845741
TiTe3,0.678196389
AlPt3,0.223807895
TmRb3,0.619259025
PrRb3,0.583855773
CCd3,1.224913456
CuH3,0.906843498
TeMg3,0.422422633
TmCe3,0.123214459
LaSi3,0.704148696
TaZr3,0.146645919
GeMg3,0.20326404
PbHf3,0.236736451
CaY3,0.158138964
YbTc3,0.241957771
RbTh3,0.868972985
DySn3,0.293421683
HgAc3,0.254501604
VNp3,0.318255086
MoN3,2.068892899
TaW3,-0.037098627
BU3,0.429764477
RbCo3,1.837972635
OsBr3,1.484588227
HoGa3,0.292003126
TcZn3,0.243273242
IP3,1.057271644
LaNa3,0.260285422
AlAc3,0.225644553
CoI3,1.211413554
SeEu3,0.70735483
PbMg3,0.062072367
DyHf3,0.304998372
TbCr3,0.891467491
TaSi3,0.817946326
InS3,0.795312146
EuAs3,0.454013183
EuSm3,0.159375784
YbPd3,0.054453052
PmMg3,0.00014323
ThBe3,0.508401611
WV3,0.010291416
CdHg3,0.096975924
ZnSe3,0.772194083
PuLu3,0.759423496
AlO3,1.665500098
NiCo3,0.357195701
AcSn3,0.274037248
TaMg3,0.481286968
CuTh3,0.334848852
SiBi3,0.423613085
GaPr3,0.231994109
CsP3,1.503246026
OsSn3,0.548862503
TlGa3,0.134538593
LiU3,0.379166794
NiAs3,0.583016179
PtRe3,0.621746509
BePu3,0.261342722
MoTe3,0.853308807
HfNp3,0.55310583
TmHo3,0.142894395
RhNd3,0.422923732
LiSe3,0.588142447
TaSr3,0.91736917
PaSn3,0.437509147
TeZn3,0.466436599
TaPb3,0.822472103
AuRe3,0.670190509
TcBa3,0.860820916
GaSe3,0.697716885
AcCo3,0.617429274
NaTb3,0.766573676
LuPr3,0.315823986
LuBi3,0.299818218
SmV3,0.601666826
CdY3,0.179547526
ThNi3,0.272354941
PuAu3,0.028493595
ReTa3,0.008470304
VPm3,0.381829883
SmMn3,0.67593021
BHo3,0.93636739
PrOs3,0.979207187
TeRe3,0.841838155
RbLu3,0.699794806
WTa3,0.01051914
PaB3,0.92808224
CrMn3,0.094548532
DyPm3,0.135778604
LiLu3,0.176077236
SnCs3,0.167327579
TiAu3,0.069918082
RbHg3,0.056172881
ThLa3,0.193697618
CuRh3,0.237383072
CoSm3,0.476713166
SeI3,0.672196415
SbPd3,0.065795118
IrTl3,0.565539351
NdRe3,0.61451888
MnGa3,0.360258085
ZrTc3,0.185443834
UDy3,0.487717269
WSc3,0.296310164
FYb3,1.135516265
PtCa3,0.360613681
BaCl3,0.303705524
AlAs3,0.552145985
PaCu3,4.649776305
MnMo3,0.158275454
FBa3,1.146130569
NiI3,0.917540704
SiK3,0.355307703
OsLi3,0.611697548
TbCu3,0.152689189
AsAu3,0.276697928
RuPr3,0.400672983
AcH3,-0.121025916
YbSr3,0.020312975
CsAu3,0.646820856
RhS3,1.020015782
HHf3,1.126344959
ClBi3,0.262201381
PrSb3,0.358150082
PrIn3,0.281627965
TmNd3,0.128023141
YNd3,0.123073348
GaAg3,0.042095152
NpY3,0.435383807
YBr3,0.66732048
RbEu3,0.206998068
YbAc3,0.083191644
TiHo3,0.236800957
NZr3,1.794630624
EuSe3,0.587301795
SSm3,0.940886358
CdNp3,0.805941376
