formula,property
Cr-Mo-Au-C,0.102457836
Cr-Mo-Au-N,0.16543528
Cr-Mo-Bi-C,0.36328033
Cr-Mo-Bi-N,0.42362407
Cr-Mo-Cd-C,0.14279652
Cr-Mo-Cd-N,0.20931908
Cr-Mo-Co-C,0.1276005
Cr-Mo-Co-N,0.106328264
Cr-Mo-Cu-C,0.16845317
Cr-Mo-Cu-N,0.2309054
Cr-Mo-Fe-C,0.104663946
Cr-Mo-Fe-N,0.08909242
Cr-Mo-Ga-C,0.011304618
Cr-Mo-Ga-N,0.12897779
Cr-Mo-Ge-C,0.029849667
Cr-Mo-Ge-N,0.14531891
Cr-Mo-In-C,0.122002594
Cr-Mo-In-N,0.15535252
Cr-Mo-Ni-C,0.11629734
Cr-Mo-Ni-N,0.1532337
Cr-Mo-P-C,0.14605767
Cr-Mo-P-N,0.26438648
Cr-Mo-Pb-C,0.3231491
Cr-Mo-Pb-N,0.34612674
Cr-Mo-S-C,0.1887032
Cr-Mo-S-N,0.2920027
Cr-Mo-Sb-C,0.20535758
Cr-Mo-Sb-N,0.290067
Cr-Mo-Si-C,0.102503456
Cr-Mo-Si-N,0.30475265
Cr-Mo-Sn-C,0.11332658
Cr-Mo-Sn-N,0.18304284
Cr-Mo-Tl-C,0.295
Cr-Mo-Tl-N,0.30244148
Cr-Mo-Zn-C,0.06692508
Cr-Mo-Zn-N,0.10507345
Cr-Nb-Al-C,-0.014231569
Cr-Nb-Al-N,0.22961847
Cr-Nb-As-C,0.07836188
Cr-Nb-As-N,0.19648734
Cr-Nb-Au-C,0.069160424
Cr-Nb-Au-N,0.14491071
Cr-Nb-Bi-C,0.33530176
Cr-Nb-Bi-N,0.40732774
Cr-Nb-Cd-C,0.1480117
Cr-Nb-Cd-N,0.18136892
Cr-Nb-Co-C,0.1030762
Cr-Nb-Co-N,0.09579448
Cr-Nb-Cu-C,0.107699916
Cr-Nb-Cu-N,0.17965773
Cr-Nb-Fe-C,0.07711559
Cr-Nb-Fe-N,0.13198256
Cr-Nb-Ga-C,0.0002888529
Cr-Nb-Ga-N,0.06527917
Cr-Nb-Ge-C,-0.0032530192
Cr-Nb-Ge-N,0.11746172
Cr-Nb-In-C,0.118640594
Cr-Nb-In-N,0.15440924
Cr-Nb-Ni-C,0.0652139
Cr-Nb-Ni-N,0.11147685
Cr-Nb-P-C,0.14142427
Cr-Nb-P-N,0.2157185
Cr-Nb-Pb-C,0.315676
Cr-Nb-Pb-N,0.3405574
Cr-Nb-S-C,0.18189566
Cr-Nb-S-N,0.24920513
Cr-Nb-Sb-C,0.19235754
Cr-Nb-Sb-N,0.27290735
Cr-Nb-Si-C,0.08741128
Cr-Nb-Si-N,0.23070298
Cr-Nb-Sn-C,0.09399062
Cr-Nb-Sn-N,0.20676285
Cr-Nb-Tl-C,0.2611272
Cr-Nb-Tl-N,0.26336977
Cr-Nb-Zn-C,0.057406005
Cr-Nb-Zn-N,0.06024024
Cr-Sc-Al-C,-0.06707429
Cr-Sc-Al-N,0.21956764
Cr-Sc-As-C,0.2096696
Cr-Sc-As-N,0.17578462
Cr-Sc-Au-C,0.09902681
Cr-Sc-Au-N,0.13991846
Cr-Sc-Bi-C,0.19714133
Cr-Sc-Bi-N,0.39393467
Cr-Sc-Cd-C,0.032342523
Cr-Sc-Cd-N,0.21919173
Cr-Sc-Co-C,0.022603616
Cr-Sc-Co-N,0.1661012
Cr-Sc-Cu-C,0.015832175
Cr-Sc-Cu-N,0.18728457
Cr-Sc-Fe-C,0.030688219
Cr-Sc-Fe-N,0.18643226
Cr-Sc-Ga-C,-0.0764616
Cr-Sc-Ga-N,0.08348275
Cr-Sc-Ge-C,0.0066175708
Cr-Sc-Ge-N,0.11634981
Cr-Sc-In-C,0.06804553
Cr-Sc-In-N,0.18786982
Cr-Sc-Ni-C,0.022089412
Cr-Sc-Ni-N,0.147559
Cr-Sc-P-C,0.22418274
Cr-Sc-P-N,0.2674247
Cr-Sc-Pb-C,0.2347047
Cr-Sc-Pb-N,0.4049135
Cr-Sc-S-C,0.25849682
Cr-Sc-S-N,0.21263167
Cr-Sc-Sb-C,0.22071333
Cr-Sc-Sb-N,0.28769827
Cr-Sc-Si-C,0.0015544656
Cr-Sc-Si-N,0.22374769
Cr-Sc-Sn-C,0.07038044
Cr-Sc-Sn-N,0.17690946
Cr-Sc-Tl-C,0.16017519
Cr-Sc-Tl-N,0.32767677
Cr-Sc-Zn-C,-0.043627962
Cr-Sc-Zn-N,0.093236655
Cr-Ta-Al-C,-0.0070654624
Cr-Ta-Al-N,0.25709212
Cr-Ta-As-C,0.0752739
Cr-Ta-As-N,0.21120648
Cr-Ta-Au-C,0.076853
Cr-Ta-Au-N,0.15736906
Cr-Ta-Bi-C,0.34889224
Cr-Ta-Bi-N,0.5008583
Cr-Ta-Cd-C,0.16512118
Cr-Ta-Cd-N,0.25170583
Cr-Ta-Co-C,0.10291697
Cr-Ta-Co-N,0.11915986
Cr-Ta-Cu-C,0.12747201
Cr-Ta-Cu-N,0.23580459
Cr-Ta-Fe-C,0.098238856
Cr-Ta-Fe-N,0.14737806
Cr-Ta-Ga-C,0.0012818744
